Question,Answer
What types of batteries do you sell?,We sell genuine Exide batteries for automotive cars inverter UPS motorcycles trucks and solar applications. All batteries come with 18-month warranty.
What is the price of car batteries?,Car battery prices range from Rs 3000 to Rs 12000 depending on capacity 35Ah to 100Ah. Contact us for exact pricing.
Do you provide free installation?,Yes we provide free professional installation at your location for all battery purchases in Delhi NCR.
What warranty do you provide?,All Exide batteries come with 18-month comprehensive warranty covering manufacturing defects and performance issues.
What areas do you cover for delivery?,We provide free delivery and installation across Delhi Gurgaon Noida Faridabad and Ghaziabad.
Do you have inverter batteries?,Yes we have Exide inverter batteries from 100Ah to 220Ah capacity. Prices start from Rs 8000. Free installation included.
How long does installation take?,Battery installation typically takes 15-30 minutes. Our technicians will test the system after installation.
How can I place an order?,Call us WhatsApp or visit our store. We accept cash UPI and card payments.
Do you accept online payments?,Yes we accept UPI credit debit cards and net banking. Cash on delivery also available.
What is your return policy?,Defective batteries can be replaced within 7 days. Warranty claims processed as per Exide terms.
How do I know which battery I need?,Share your vehicle model or inverter specifications. Our experts will recommend the right battery capacity.
My battery is not holding charge what should I do?,This could indicate battery aging or charging system issues. Contact us for free diagnosis and replacement if under warranty.
How to maintain battery life?,Keep terminals clean check water levels monthly for conventional batteries avoid deep discharge and ensure proper charging.
What are your working hours?,Monday to Saturday 9 AM to 7 PM. Sunday 10 AM to 5 PM. Emergency service available.
Where is your store located?,Delhi NCR India Multiple locations. Call for directions and nearest store location.
Are your batteries genuine?,Yes we are authorized Exide dealers. All batteries are 100 percent genuine with proper warranty cards and serial numbers.